OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,used,central,0,0.0,2.5,20,1000,0,1,1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x 
L,used,down,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0490522+6.44195e-05*x+-9.47618e-08*x*x)) 
L,used,down_correlated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0454285+6.90715e-05*x+-1.01414e-07*x*x)) 
L,used,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0182876)) 
L,used,up,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0490522+6.44195e-05*x+-9.47618e-08*x*x)) 
L,used,up_correlated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0454285+6.90715e-05*x+-1.01414e-07*x*x)) 
L,used,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0182876)) 
M,used,central,0,0.0,2.5,20,1000,0,1,1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x 
M,used,down,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.118505+0.000202743*x+-2.64228e-07*x*x)) 
M,used,down_correlated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.110898+0.000211159*x+-2.76621e-07*x*x)) 
M,used,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.0435201)) 
M,used,up,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.118505+0.000202743*x+-2.64228e-07*x*x)) 
M,used,up_correlated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.110898+0.000211159*x+-2.76621e-07*x*x)) 
M,used,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.0435201)) 
T,used,central,0,0.0,2.5,20,1000,0,1,"1.41865+92.0563/(pow(x,1.5))+-9.85825/x "
